num;dd_desig;cc_desig;dd;cc;llll;LOCALIDADE;ART_COD;ART_TIPO;PRI_PREP;ART_TITULO;SEG_PREP;ART_DESIG;ART_LOCAL;TROCO;PORTA;CLIENTE;CP4;CP3;CPALF;LATITUDE;LONGITUDE;precision;scannedAddress;foundAddress;matched
128404;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105140511;Largo;de;;;Adroana;Adroana;;;;2645;12;ALCABIDECHE;387,426,739;-93,816,895;3;Largo de Adroana, Adroana, Alcabideche,Portugal|1;Largo Adroana, 2645-019 Alcabideche, Portugal;3
128405;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105240511;Rua;;;;Armindo Costa;Atrozela;;;;2645;245;ALCABIDECHE;387,431,766;-93,977,606;3;Rua Armindo Costa, Atrozela, Alcabideche,Portugal|1;R. Armindo Costa, 2645-543 Alcabideche, Portugal;3
128406;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105260511;Estrada;de;;;Atrozela;Atrozela;;;;2645;246;ALCABIDECHE;387,375,434;-94,077,865;3;Estrada de Atrozela, Atrozela, Alcabideche,Portugal|1;Estr. Atrozela, 2645 Alcabideche, Portugal;4
128407;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105260511;Estrada;de;;;Atrozela;;;;;2645;28;ALCABIDECHE;387,375,434;-94,077,865;3;Estrada de Atrozela, Alcabideche,Portugal|1;Estr. Atrozela, 2645 Alcabideche, Portugal;4
128408;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105300511;Rua;;;;Bela Vista;Pau Gordo;;;;2645;526;ALCABIDECHE;387,224,607;-93,838,284;3;Rua Bela Vista, Pau Gordo, Alcabideche,Portugal|1;R. Bela Vista, 2645 Alcabideche, Portugal;4
128409;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105310511;Rua;dos;;;Bombeiros Voluntários;;;;;2645;30;ALCABIDECHE;387,305,964;-94,095,601;3;Rua dos Bombeiros Voluntários, Alcabideche,Portugal|1;R. Bombeiros Voluntários, 2645 Alcabideche, Portugal;4
128410;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105320511;Travessa;dos;;;Bons Ares;;;;;2645;32;ALCABIDECHE;387,346,822;-94,099,426;3;Travessa dos Bons Ares, Alcabideche,Portugal|1;Tv. Bons Ares, 2645 Alcabideche, Portugal;4
128411;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105400511;Pátio;da;;;Cartacha;;;;;2645;35;ALCABIDECHE;387,330,964;-94,098,407;4;Pátio da Cartacha, Alcabideche,Portugal|1;Alcabideche, Portugal;1
128412;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105470511;Rua;do;;;Chafariz;Pau Gordo;;;;2645;324;ALCABIDECHE;387,236,086;-93,827,554;3;Rua do Chafariz, Pau Gordo, Alcabideche,Portugal|1;R. Chafariz, 2645 Alcabideche, Portugal;4
128413;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105490511;Travessa;da;;;Cidreira;;;;;2645;39;ALCABIDECHE;387,344,973;-94,103,504;3;Travessa da Cidreira, Alcabideche,Portugal|1;Tv. Cidreira, 2645 Alcabideche, Portugal;4
128414;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105510511;Rua;do;Conde;;Barão;;;;;2645;618;ALCABIDECHE;387,315,696;-94,026,283;3;Rua do Conde Barão, Alcabideche,Portugal|1;Rua Conde Barão, 2645 Alcabideche, Portugal;4
128415;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105510511;Rua;do;Conde;;Barão;;;511;ASSOCIAÇÃO TESTEMUNHAS DE JEOVÁ;2649;513;ALCABIDECHE;387,315,696;-94,026,283;3;Rua do Conde Barão, Alcabideche,Portugal|1;Rua Conde Barão, 2645 Alcabideche, Portugal;2
128416;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105510511;Rua;do;Conde;;Barão;;;614;ESCOLA EB 2,3 DE ALCABIDECHE;2649;515;ALCABIDECHE;387,315,696;-94,026,283;3;Rua do Conde Barão, Alcabideche,Portugal|1;Rua Conde Barão, 2645 Alcabideche, Portugal;2
128417;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105540511;Rua;;Dom;;Luís I;;;;;2645;54;ALCABIDECHE;387,322,661;-9,405,966;3;Rua Dom Luís I, Alcabideche,Portugal|1;R. Dom Luís i, 2645-109 Alcabideche, Portugal;3
128418;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105550511;Rua;;Dom;;Pedro I;;;;;2645;72;ALCABIDECHE;387,326,445;-9,405,912;3;Rua Dom Pedro I, Alcabideche,Portugal|1;R. Dom Pedro I, 2645 Alcabideche, Portugal;4
128419;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105560511;Rua;;Doutor;;António Pereira Coutinho;;;;;2645;27;ALCABIDECHE;387,337,501;-94,078,572;3;Rua Doutor António Pereira Coutinho, Alcabideche,Portugal|1;R. Dr. António Pereira Coutinho, 2645 Alcabideche, Portugal;4
128420;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105600511;Praceta;;;;Eira da Lage;;;;;2645;42;ALCABIDECHE;387,360,687;-94,080,352;3;Praceta Eira da Lage, Alcabideche,Portugal|1;Praceta Eira da Lage, 2645 Alcabideche, Portugal;4
128421;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105640511;Travessa;da;;;Escola;;;;;2645;43;ALCABIDECHE;387,353,459;-93,682,296;3;Travessa da Escola, Alcabideche,Portugal|1;R. da Escola, 2645 Alcabideche, Portugal;4
128422;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105690511;Rua;;;;Fernando Pessoa;Adroana;;;;2645;607;ALCABIDECHE;387,450,553;-93,832,607;3;Rua Fernando Pessoa, Adroana, Alcabideche,Portugal|1;R. Fernando Pessoa, 2645 Alcabideche, Portugal;4
128423;Lisboa;Cascais                                                                                                                                                                                                                                                        ;11;5;12001;Alcabideche;105770511;Travessa;;;;Francisco Roquete;;;;;2645;47;ALCABIDECHE;387,329,606;-94,092,814;3;Travessa Francisco Roquete, Alcabideche,Portugal|1;Tv. Francisco Roquete, 2645 Alcabideche, Portugal;4
